versuch_id	sample_id	plant_id	accession	plant_name	glucose	fructose	sucrose	raffinose	amino_acids	malate	fumarate	fumarate_withNAs	proline	LT50NAC	LT50ACC	bbch_id	antho_value	anthoscore	number1	date1	aliquot_id	date2	number2
105	81463	642856	C24	[At.C24.n].728.1-2	7.755431005	3.544020443	4.891	0.291531516	5.7588	12.5853804	0.414373675	0.414373675	0.059988071	-4.612	-5.93	63	gering	2	22	01. Apr 09	642856	22. Jan 09	20
105	81464	642766	Can-0	[At.Can-0.n].53-1	6.873416118	5.852434211	5.652299342	0.482957237	11.1584	8.259354765	-1.322176105	NA	0.040253753	-4.276	-5.774	53	mittel	3	29	01. Apr 09	642766	22. Jan 09	38
105	81465	642767	Can-0	[At.Can-0.n].53-2	28.59389773	20.12643669	8.778443182	1.638431818	6.3017	18.71428059	-2.473666168	NA	0.053920612	-4.276	-5.774	55	mittel	3	33	01. Apr 09	642767	22. Jan 09	34
105	81466	642650	Cl-0	[At.Cl-0.n].432-1	24.97632939	17.22087838	10.15686318	1.673820946	7.1661	15.47646325	-1.579008655	NA	0.062012539	NA	NA	51	hoch	4	39	01. Apr 09	642650	22. Jan 09	45
105	81467	642651	Cl-0	[At.Cl-0.n].432-2	20.66339746	16.86187477	9.964192377	1.891867514	8.9067	15.98398667	0.9165471	0.9165471	0.048950377	NA	NA	51	mittel	3	30	01. Apr 09	642651	22. Jan 09	32
105	81468	642853	Co	[At.Co.n].2.11-1	7.752718241	3.748697068	5.985180782	0.369929967	7.7224	17.61924701	2.10155988	2.10155988	0.081347743	-4.608	-6.497	63	gering	2	22	01. Apr 09	642853	22. Jan 09	26
105	81469	642854	Co	[At.Co.n].2.11-2	9.424227106	5.238320513	6.830946886	0.673122711	5.7991	8.980569903	2.483155297	2.483155297	0.048941246	-4.608	-6.497	63	gering	2	18	01. Apr 09	642854	22. Jan 09	19
105	81470	646404	Col-0	[At.Col-0.n].1.3362.3556	5.253100671	4.950211409	5.069095638	0.668746644	3.2433	8.028682277	2.494451082	2.494451082	0.036454981	-5.341	-9.675	51	hoch	4	14	01. Apr 09	646404	22. Jan 09	9
105	81471	646405	Col-0	[At.Col-0.n].1.3362.3557	6.414202247	3.678599251	4.841370787	0.80202809	4.3154	14.9421366	5.357749802	5.357749802	0.062200556	-5.341	-9.675	50	hoch	4	1	01. Apr 09	646405	22. Jan 09	0
105	81472	646406	Col-0	[At.Col-0.n].1.3362.3558	5.341244262	4.47684918	6.669393443	0.973377049	5.3125	12.49870714	3.402783738	3.402783738	0.05240395	-5.341	-9.675	52	hoch	4	5	01. Apr 09	646406	22. Jan 09	3
105	81473	646407	Col-0	[At.Col-0.n].1.3362.3559	5.058519774	3.711887006	4.462242938	0.560827684	2.6277	16.85892638	4.939189123	4.939189123	0.038801035	-5.341	-9.675	51	hoch	4	4	01. Apr 09	646407	22. Jan 09	0
105	81474	642670	Col-0	[At.Col-0.NULL].84-1	15.11077244	11.30616346	9.67849359	2.068998397	4.6576	16.19942065	-0.868754755	NA	0.060433291	-5.341	-9.675	53	sehr hoch	5	54	01. Apr 09	642670	22. Jan 09	50
105	81475	642671	Col-0	[At.Col-0.NULL].84-2	7.510125442	7.661733216	4.589743816	1.105097173	5.6367	10.54427551	-1.651542622	NA	0.060007614	-5.341	-9.675	52	sehr hoch	5	26	01. Apr 09	642671	22. Jan 09	18
105	81476	642827	Col-0	[At.Col-0-G1.n].1-1.1-1	11.26454499	10.67342445	7.468280136	1.455149406	5.233	12.74348867	-0.698154354	NA	0.102184643	-5.341	-9.675	53	hoch	4	20	01. Apr 09	642827	22. Jan 09	15
105	81477	642828	Col-0	[At.Col-0-G1.n].1-1.1-2	9.635952922	10.16470617	8.58011039	1.525709416	6.2964	13.33716559	-1.517488838	NA	0.055136867	-5.341	-9.675	53	sehr hoch	5	15	01. Apr 09	642828	22. Jan 09	16
105	81478	642768	Ct-1	[At.Ct-1.n].3-1	16.10017036	13.37421635	9.508979557	1.758616695	10.4969	4.725815379	1.529280424	1.529280424	0.071900596	-6.04	-10.03	55	hoch	4	37	01. Apr 09	642768	22. Jan 09	37
105	81479	642769	Ct-1	[At.Ct-1.n].3-2	16.89220315	13.64642382	7.824392294	1.153161121	11.0359	-1.356991719	0.999058631	0.999058631	0.062981104	-6.04	-10.03	55	mittel	3	29	01. Apr 09	642769	22. Jan 09	24
105	81480	642829	Cvi-G1	[At.Cvi-G1.n].1.1-1	6.991592233	5.235087379	5.799528155	0.698440777	7.9894	16.1825059	2.124315898	2.124315898	0.065950116	-4.98	-7.467	59	mittel	3	17	01. Apr 09	642829	22. Jan 09	24
105	81481	642830	Cvi-G1	[At.Cvi-G1.n].1.1-2	9.119600671	8.250194631	8.941595638	1.258687919	9.4293	19.14379248	3.921943263	3.921943263	0.063691461	-4.98	-7.467	59	mittel	3	19	01. Apr 09	642830	22. Jan 09	24
105	81482	642648	Da-0	[At.Da-0.n].81-1	7.982378641	7.639957929	7.401898058	0.887059871	2.838	10.61414658	2.405651852	2.405651852	0.030712064	NA	NA	50	hoch	4	30	01. Apr 09	642648	22. Jan 09	26
105	81483	642649	Da-0	[At.Da-0.n].81-2	10.02021951	10.08505923	10.93554007	1.304433798	14.6074	32.65520065	8.974937823	8.974937823	0.117472377	NA	NA	50	mittel	3	15	01. Apr 09	642649	22. Jan 09	8
105	81484	642674	Edi-0	[At.Edi-0.NULL].39-1	7.525126712	7.457549658	5.828364726	1.232167808	5.1936	9.61159306	1.87332652	1.87332652	0.041480384	-4.97	-8.906	52	mittel	3	19	01. Apr 09	642674	22. Jan 09	25
105	81485	642675	Edi-0	[At.Edi-0.NULL].39-2	7.584990164	6.822913115	7.330857377	1.000486885	6.5875	9.007989864	0.291462822	0.291462822	0.10276087	-4.97	-8.906	51	gering	2	12	01. Apr 09	642675	22. Jan 09	9
105	81486	642662	Ei-2	[At.Ei-2.n].95-1	10.3709291	11.30785634	14.60693843	1.928147388	9.3374	16.43129973	-2.964969003	NA	0.058241038	-6.692	-10.59	19	hoch	4	39	01. Apr 09	642662	22. Jan 09	39
105	81487	642663	Ei-2	[At.Ei-2.n].95-2	12.94223214	13.85071753	11.10377597	1.593991883	9.9087	21.21079827	-2.048698466	NA	0.033649705	-6.692	-10.59	51	mittel	3	27	01. Apr 09	642663	22. Jan 09	24
105	81488	642851	El-0	[At.El-0.n].4.1-1	15.50867472	11.99941078	8.561159851	1.915349442	9.5829	3.617059327	1.668564329	1.668564329	0.0359903	NA	NA	51	mittel	3	24	01. Apr 09	642851	22. Jan 09	22
