Datum	Schnee	Sonne	Temp	Monat	Jahr	Feld
25.1.2008	0	432	-0.9	Januar	2008	Feld2
26.1.2008	0	24	5.8	Januar	2008	Feld2
27.1.2008	0	0	3.3	Januar	2008	Feld2
28.1.2008	0	0	-1.8	Januar	2008	Feld2
29.1.2008	0	0	4	Januar	2008	Feld2
30.1.2008	0	6	1.1	Januar	2008	Feld2
31.1.2008	0	132	-2.1	Januar	2008	Feld2
1.2.2008	0	48	1.3	Feburar	2008	Feld2
2.2.2008	0	120	-1.7	Feburar	2008	Feld2
3.2.2008	0	396	-3.8	Feburar	2008	Feld2
4.2.2008	0	444	-4.4	Feburar	2008	Feld2
5.2.2008	0	258	-1.5	Feburar	2008	Feld2
6.2.2008	0	36	3.5	Feburar	2008	Feld2
7.2.2008	0	222	1.5	Feburar	2008	Feld2
8.2.2008	0	6	0.7	Feburar	2008	Feld2
9.2.2008	0	222	-0.3	Feburar	2008	Feld2
10.2.2008	0	462	-2	Feburar	2008	Feld2
11.2.2008	0	264	-2.3	Feburar	2008	Feld2
12.2.2008	0	0	3.6	Feburar	2008	Feld2
13.2.2008	0	204	2.1	Feburar	2008	Feld2
14.2.2008	0	0	0.1	Feburar	2008	Feld2
15.2.2008	0	498	-7	Feburar	2008	Feld2
16.2.2008	0	372	-10.2	Feburar	2008	Feld2
17.2.2008	0	276	-9.2	Feburar	2008	Feld2
18.2.2008	0	0	-0.2	Feburar	2008	Feld2
19.2.2008	0	0	1.4	Feburar	2008	Feld2
20.2.2008	0	366	-0.8	Feburar	2008	Feld2
21.2.2008	0	162	-1.9	Feburar	2008	Feld2
22.2.2008	0	0	5.3	Feburar	2008	Feld2
23.2.2008	0	336	2.6	Feburar	2008	Feld2
24.2.2008	0	504	1.7	Feburar	2008	Feld2
25.2.2008	0	342	0.9	Feburar	2008	Feld2
26.2.2008	0	84	-0.4	Feburar	2008	Feld2
27.2.2008	0	126	2.4	Feburar	2008	Feld2
28.2.2008	0	336	0	Feburar	2008	Feld2
29.2.2008	0	132	-1.7	Feburar	2008	Feld2
1.3.2008	0	0	4.5	März	2008	Feld2
2.3.2008	0	84	2.1	März	2008	Feld2
3.3.2008	0	138	3.1	März	2008	Feld2
4.3.2008	0	138	-1.5	März	2008	Feld2
5.3.2008	1	528	-4.3	März	2008	Feld2
6.3.2008	0	36	-4.4	März	2008	Feld2
7.3.2008	0	42	5	März	2008	Feld2
8.3.2008	0	42	5	März	2008	Feld2
9.3.2008	0	414	-0.1	März	2008	Feld2
10.3.2008	0	606	1.5	März	2008	Feld2
11.3.2008	0	276	3.3	März	2008	Feld2
12.3.2008	0	198	3.3	März	2008	Feld2
13.3.2008	0	258	3.6	März	2008	Feld2
14.3.2008	0	144	-1.8	März	2008	Feld2
15.3.2008	0	246	-1.3	März	2008	Feld2
16.3.2008	0	0	-0.8	März	2008	Feld2
17.3.2008	0	270	0.6	März	2008	Feld2
18.3.2008	0	552	-3.4	März	2008	Feld2
19.3.2008	0	246	-4.4	März	2008	Feld2
20.3.2008	2	330	-7.7	März	2008	Feld2
21.3.2008	0	30	-0.3	März	2008	Feld2
22.3.2008	1	6	0	März	2008	Feld2
23.3.2008	0	270	-1.8	März	2008	Feld2
24.3.2008	0	594	-7.7	März	2008	Feld2
25.3.2008	0	300	-2.9	März	2008	Feld2
