"versuch_id"	"accession"	"plant_name"	"LT50NAC"	"LT50ACC"	"glucose"	"fructose"	"sucrose"	"raffinose"	"amino_acids"	"malate"	"fumarate"	"proline"	"anthoscore"	"antho_value_en"	"bbch_id"	"rank_bbch_id"	"percent_bbch_id"	"norm_bbch_id"	"bbch_categories"	"glucose_positive"	"fructose_positive"	"sucrose_positive"	"raffinose_positive"	"amino_acids_positive"	"malate_positive"	"fumarate_positive"	"proline_positive"	"flowering_state"	"vegetative_state"	"capacity"
"16"	119	"Bsch-2"	"[At.Bsch-2.n].2.1-4"	-5.431	-9.132	24.63651	17.597474	13.477042	3.773204	11.09036869	20.61756642	1.686865928	0.106386133	5	"very high"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	24.63651	17.597474	13.477042	3.773204	11.09036869	20.61756642	1.686865928	0.106386133	"non-flowering"	"non-vegetative"	-3.701
"17"	119	"Bsch-2"	"[At.Bsch-2.n].78-3"	-5.431	-9.132	13.719306	9.14648	12.848722	2.079186	17.61619955	23.69504917	4.585163189	0.15437553	4	"high"	55	98	61.6352201257862	0	"generative buds"	13.719306	9.14648	12.848722	2.079186	17.61619955	23.69504917	4.585163189	0.15437553	"non-flowering"	"non-vegetative"	-3.701
"18"	119	"Bsch-2"	"[At.Bsch-2.n].78-4"	-5.431	-9.132	23.164406	16.254824	14.022904	3.302906	12.0666741	23.45724599	3.095492577	0.098291536	5	"very high"	55	98	61.6352201257862	0	"generative buds"	23.164406	16.254824	14.022904	3.302906	12.0666741	23.45724599	3.095492577	0.098291536	"non-flowering"	"non-vegetative"	-3.701
"19"	119	"Bu-2"	"[At.Bu-2.n].59-3"	-5.287	-9.999	39.147398	25.34374	23.81247	3.42637	16.18452121	25.06228145	7.764853345	0.132404481	3	"intermediate"	59	132.5	83.3333333333333	0.627272727272727	"generative buds"	39.147398	25.34374	23.81247	3.42637	16.18452121	25.06228145	7.764853345	0.132404481	"non-flowering"	"non-vegetative"	-4.712
"20"	119	"Bu-2"	"[At.Bu-2.n].59-4"	-5.287	-9.999	10.27901	8.208314	14.033448	2.142662	13.08018896	16.53905891	7.448048885	0.073429559	2	"low"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	10.27901	8.208314	14.033448	2.142662	13.08018896	16.53905891	7.448048885	0.073429559	"non-flowering"	"non-vegetative"	-4.712
"21"	119	"Bur-0"	"[At.Bur-0.n].32-3"	-6.186	-9.445	20.846878	19.028088	35.670944	2.141566	12.20677729	21.38747152	1.640224143	0.175768394	2	"low"	51	11	6.91823899371069	-1.58181818181818	"generative buds"	20.846878	19.028088	35.670944	2.141566	12.20677729	21.38747152	1.640224143	0.175768394	"non-flowering"	"non-vegetative"	-3.259
"22"	119	"Bur-0"	"[At.Bur-0.n].32-4"	-6.186	-9.445	18.224996	19.092984	30.441648	2.230922	14.61334558	20.45251712	5.637488042	0.189066661	2	"low"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	18.224996	19.092984	30.441648	2.230922	14.61334558	20.45251712	5.637488042	0.189066661	"non-flowering"	"non-vegetative"	-3.259
"23"	119	"C24"	"[At.C24.n].728.1-3"	-4.612	-5.93	35.947006	13.778952	13.620008	1.182818	18.35235265	26.31000418	5.552655261	0.25093251	2	"low"	65	159	100	1.10909090909091	"flowering"	35.947006	13.778952	13.620008	1.182818	18.35235265	26.31000418	5.552655261	0.25093251	"flowering"	"non-vegetative"	-1.318
"24"	119	"C24"	"[At.C24.n].728.1-4"	-4.612	-5.93	28.330444	11.453402	12.474184	1.493574	13.26541425	32.2204621	5.357224174	0.123731698	2	"low"	63	153	96.2264150943396	1	"flowering"	28.330444	11.453402	12.474184	1.493574	13.26541425	32.2204621	5.357224174	0.123731698	"flowering"	"non-vegetative"	-1.318
"25"	119	"C24"	"[At.C24.n].728.1-5"	-4.612	-5.93	46.454268	18.468964	18.747942	1.632496	8.541828598	25.8715714	0.470904892	0.053771252	2	"low"	63	153	96.2264150943396	1	"flowering"	46.454268	18.468964	18.747942	1.632496	8.541828598	25.8715714	0.470904892	0.053771252	"flowering"	"non-vegetative"	-1.318
